11:21:46.770 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
11:21:54.240 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:21:54.362 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1660404114244_127.0.0.1_58234
11:21:54.362 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:21:54.362 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Notify connected event to listeners.
11:21:54.362 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$338/1692523793
11:21:55.388 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9200"]
11:21:55.404 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP ruoyi-auth 192.168.72.1:9200 register finished
11:21:55.970 [nacos-grpc-client-executor-5] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Receive server push request, request = NotifySubscriberRequest, requestId = 3
11:21:55.974 [main] INFO  c.r.a.RuoYiAuthApplication - [logStarted,61] - Started RuoYiAuthApplication in 10.273 seconds (JVM running for 12.702)
11:21:55.975 [nacos-grpc-client-executor-5] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Ack server push request, request = NotifySubscriberRequest, requestId = 3
11:21:55.982 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth.yml, group=DEFAULT_GROUP
11:21:55.984 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth-dev.yml, group=DEFAULT_GROUP
11:21:55.984 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListenersForApplications,105] - listening config: dataId=ruoyi-auth, group=DEFAULT_GROUP
11:21:56.927 [RMI TCP Connection(2)-192.168.72.1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:35:29.149 [nacos-grpc-client-executor-178] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Receive server push request, request = NotifySubscriberRequest, requestId = 24
11:35:29.150 [nacos-grpc-client-executor-178] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [29991c56-2d81-4091-b7cb-80322c817339] Ack server push request, request = NotifySubscriberRequest, requestId = 24
11:45:15.036 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
11:45:15.040 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
11:45:15.376 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
11:45:15.377 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@5cf609ae[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
11:45:15.377 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1660404114244_127.0.0.1_58234
11:45:15.378 [nacos-grpc-client-executor-300] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1660404114244_127.0.0.1_58234]Ignore complete event,isRunning:false,isAbandon=false
11:45:15.381 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@62f97b0e[Running, pool size = 5, active threads = 0, queued tasks = 0, completed tasks = 301]
